,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Pei_Zhang_0003,0.23678409,0.037144568,0.14287987,0.033420596,0.0066071255,0.024322743,-0.022430638,-0.1830923,0.12098298,0.100781776,0.105269305,0.07108809,-0.0792074,0.06078273,-0.016817205,0.10743004,-0.0027644236,-0.01367669,-0.049604572,-0.20091541,0.10037105,-0.15388155,0.05865812,0.104460284,0.055482045,-0.54522204,-0.13756503,-0.014551147,0.19330783,-0.02882937,1.5799537,0.006389539,-0.14429374,-0.2501146,0.015349669,-0.012418497,0.0436844,0.038116768,-0.05670645,0.012618467,0.064953506,-0.09545955,0.012376821,0.16630384,-0.11720993,-0.016953237,0.17116535,0.15197578,0.108471744,0.050170153
Jianfeng_Guan,0.15343016,0.03673834,0.09623374,0.06478209,-0.0008321044,0.008927605,-0.017396627,-0.15246382,0.09556764,0.10380804,0.09589385,0.07577084,-0.0459611,0.05108585,0.0003152234,0.07248296,-0.013447327,0.013671788,0.006526475,-0.15199703,0.09446539,-0.11034078,0.026712062,0.08024105,0.037742577,-0.36514995,-0.09476926,-0.03343374,0.11215756,-0.00104863,1.1467769,0.01803566,-0.090879,-0.17422333,-0.03468973,-0.016073957,0.027596116,0.029120984,-0.057443716,-0.022762544,0.09543122,-0.08434713,-0.031262066,0.13431616,-0.079869576,-0.027014626,0.104025386,0.12475367,0.056832567,0.07727043
Qi_Qi_0001,0.14479527,0.081938215,0.021010859,-0.008817518,0.07507862,0.06108863,0.0098536145,-0.16112961,0.048667192,0.05628202,0.07882459,0.037182014,-0.05144269,0.02571573,0.025856808,0.051529717,0.007680574,0.051374614,0.018787932,-0.1509355,0.023311056,-0.0331874,0.0075607346,0.07285415,0.09926936,-0.35015613,-0.19891901,-0.04424463,0.070900485,-0.04127757,1.0326757,-0.03788776,-0.14040998,-0.22667503,0.051934123,-0.012272166,0.07102809,0.06462869,-0.053198047,-0.023099052,0.030584324,-0.13624272,0.03467586,0.111053705,-0.05371227,-0.01042729,0.15210764,0.13037674,0.051773358,0.10192092
Qiwei_Shen,0.20061879,-0.106583215,0.025778372,-0.027449846,-0.019196626,0.12301424,0.046276547,-0.2916436,0.12693141,0.1194366,0.20558667,0.17775963,-0.069758475,0.033726793,-0.009876741,0.18111601,0.056330174,0.054901592,0.03446155,-0.2621929,0.11251043,-0.14049518,-0.034888975,0.097687505,0.116863504,-0.3963283,-0.14516692,-0.12682062,0.15379186,-0.026450422,1.3861952,-0.045889385,-0.24777316,-0.25431067,0.07708676,0.043896697,0.15919791,0.09176316,-0.0953005,0.018501148,0.068240345,-0.0970814,-0.067702375,0.20180203,-0.1576942,-0.04601652,0.27350542,0.09872988,0.05634849,0.15625122
Chuan_Shi,0.064283825,0.09416646,0.023245044,-0.0666802,0.03809756,0.10064693,0.04672447,-0.25855705,0.06327776,0.11118092,0.28427234,0.10160973,-0.11237599,0.0087967105,-0.007977452,0.20547065,0.03757777,0.1547694,0.012134364,-0.15814416,0.01953891,-0.09092385,-0.05845288,0.084183134,0.07567791,-0.56322235,-0.31803295,-0.07568941,0.17404884,0.06250931,1.3154262,0.031917933,-0.1422576,-0.24037264,0.079864286,-0.041702453,0.116516784,0.074756995,-0.040864985,0.05543321,0.044925213,-0.14948875,0.029216852,0.12555231,0.03994794,-0.050497856,0.12371887,0.17439994,0.07497522,0.19164371
Yongping_Xiong,0.1468442,0.026280297,0.12315617,0.035484217,0.03884923,0.0048947544,-0.024902819,-0.14478016,0.08463556,0.05089399,0.08578329,0.036584117,-0.04306796,0.047254555,-0.012003164,0.08879162,-0.025208589,-0.011979619,-0.02113666,-0.12727945,0.078248605,-0.10898061,0.011522426,0.06973053,0.025763618,-0.37709495,-0.081381574,-0.026891889,0.11548108,-0.012966515,1.0865101,0.036757182,-0.09747575,-0.1709549,-0.009004631,-0.00878469,0.033432003,0.005905699,-0.060961965,-0.016713856,0.05897369,-0.068717755,-0.011706973,0.103088856,-0.061686616,-0.023288654,0.1152041,0.11941378,0.06671439,0.05124122
Haihong_E,0.15771204,0.034326605,0.057553872,0.003994465,0.07991956,0.054771595,-0.0015171841,-0.1723738,0.05853848,0.070807524,0.10688418,0.05680351,-0.03690001,0.049658604,0.028126623,0.07139871,-0.016990598,0.010718297,0.0016813243,-0.18083698,0.05959072,-0.10955306,0.039284218,0.068143606,0.067269824,-0.4044907,-0.14801605,-0.043475743,0.10946823,-0.020271163,1.2600152,-0.013533747,-0.12040296,-0.21545869,0.030455098,0.001977148,0.046817027,0.082924776,-0.032529254,-0.036419652,0.04437338,-0.10759278,-0.0010917564,0.14538234,-0.06974256,-0.033714667,0.18230069,0.14028084,0.061495245,0.09607315
Fanqin_Zhou,0.17720194,0.038455807,0.14258745,0.057254713,-0.0019418843,0.023147564,0.019596398,-0.1783751,0.114470296,0.09318806,0.13376531,0.041299187,-0.041079428,0.06763097,-0.04307385,0.085603625,-0.016995214,0.07422055,-0.028219275,-0.15215966,0.08514056,-0.13378163,0.0024962556,0.0890024,0.033428676,-0.35632116,-0.0899438,-0.016933756,0.15993574,0.02572101,1.2097561,0.025537068,-0.09767446,-0.16067119,-0.0022422615,0.0071210987,0.03808339,0.03292333,-0.032131363,0.0113646295,0.08059525,-0.08626002,-0.028884685,0.12389125,-0.11109137,-0.06513239,0.15653744,0.10052777,0.08208901,0.09282524
Shuzhuang_Zhang,0.16670081,0.04283684,0.07088887,0.05998566,-0.0033329413,0.02091914,-0.049304236,-0.16207705,0.12452662,0.0946876,0.08655121,0.082176685,-0.074680045,0.06217371,0.030108837,0.049257148,-0.0059149573,0.0069792992,-0.01736132,-0.21853012,0.091406085,-0.108940944,0.054865114,0.09883542,0.086943164,-0.46555817,-0.17405608,-0.015475139,0.15619732,-0.055888847,1.3395044,0.003390438,-0.116517514,-0.20944843,-0.016549319,-0.017261755,0.035204355,0.06799289,-0.06736064,0.005659257,0.08025207,-0.09107414,0.0032756508,0.1584164,-0.087860264,-0.050751284,0.14879344,0.13816813,0.07245708,0.09940028
Hongliang_Liang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
