,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,1,0.97578794,0.98443943,0.9697216,0.97213745,0.98040146,0.98893386,0.98021567,0.98636246,0.98601234,0.9885014,0.98864925,0.9619697,0.9243058,0.89235836,0.9902796,0.9859438,0.9846138,0.9868351,0,0.9737225,0.96066296,0.9849717,0.9801632,0.94432664,0.9682222,0.96205485,0.96383405,0.8929722,0.9784596,0.98182267,0.98753095,0.9867634,0.98801774,0.9818449,0.9843954,0.98711085,0.9828023,0.99205995,0.9764317,0.89004374,0.9677275,0.9907139,0.9712181,0.98008615,0.9856087,0.98028564,0.9831983,0.9820993,0,0.9849653,0,0.8779659,0.98666143,0.9217886,0.99112326,0.9734866,0.9714722,0.98057556,0.9874416,0.98005795,0.940044,0.99344563,0.8763532,0.98561466,0.99198455,0.9938025,0.9544466,0.9912996,0.8693127,0.9889883,0.97988105,0.9659087,0.974063,0.9927182,0.9836112,0.98831725,0.9406118,0.9862451,0.9575444,0.97855973,0.9724417,0.98234046,0.9911244,0.95438313,0.98233867,0.97261524,0.92935807,0.9902276,0.9831293,0,0.98175716,0.9925331,0,0.681466,0.97385085,0.9881379,0.9750612,0.9926346,0.9797286,0.98665196,0.9740214,0.982831,0.95761,0.9947339,0.9797694,0.9721756,0.98740005,0.9890304,0.9876876,0.9748453,0.98967355,0.99061793,0.7963599,0.98643833,0.9741832,0.975913,0.93853664,0.9807036,0.85611695,0.9739842,0.9940644,0.9854738,0.9203905,0.9877962,0.9474615
1,0.97578794,1.0000001,0.9754557,0.9455931,0.96345234,0.9646278,0.9745639,0.98111796,0.9764824,0.97954106,0.97614926,0.96576476,0.9614818,0.9287315,0.90208685,0.9731324,0.9806216,0.9712684,0.9709272,0,0.96320117,0.9675403,0.9646458,0.9739805,0.9607285,0.9653061,0.9464071,0.9503459,0.8917016,0.9779026,0.9757796,0.97198236,0.97572446,0.98121905,0.9738354,0.97838396,0.9837987,0.97971153,0.97136444,0.97455764,0.89342207,0.9530535,0.97702396,0.9529625,0.9612904,0.96986824,0.97128433,0.981217,0.9644236,0,0.9716353,0,0.88733,0.9763383,0.9204793,0.97899264,0.9692847,0.96394646,0.9755639,0.97448725,0.9635319,0.9431315,0.9784665,0.89050835,0.97898126,0.9708543,0.9812073,0.9509421,0.97986066,0.8726687,0.9692151,0.97316045,0.9616835,0.9621177,0.9787053,0.9704157,0.98187745,0.9375691,0.9739178,0.9480081,0.9660381,0.9727237,0.9752329,0.96898544,0.9528297,0.9795193,0.9533883,0.93976825,0.9822617,0.9678706,0,0.9831679,0.9768907,0,0.66025615,0.9650301,0.97765577,0.96470165,0.9774429,0.9819068,0.97530484,0.94651055,0.9687643,0.95472646,0.97801954,0.971278,0.9606293,0.9746866,0.9717826,0.97482306,0.9591367,0.97758204,0.97897476,0.817898,0.9738878,0.9635405,0.97533166,0.926003,0.98123777,0.83043605,0.96447337,0.9747112,0.97576845,0.9358196,0.9822162,0.94432336
2,0.98443943,0.9754557,1,0.9503537,0.98674065,0.9696898,0.97852737,0.9822395,0.9812471,0.9920003,0.98116106,0.9785115,0.9777737,0.9278483,0.90808153,0.9807722,0.9937137,0.9720411,0.98156214,0,0.98553693,0.9711709,0.97239745,0.97700834,0.9437564,0.9722395,0.9576837,0.9558392,0.91091335,0.98498064,0.9784081,0.9826618,0.9928552,0.9888926,0.9891773,0.99138254,0.9891493,0.99029005,0.9786261,0.9839612,0.899089,0.9622107,0.98707753,0.97381186,0.96830106,0.97191286,0.9790534,0.99119675,0.98080194,0,0.9779742,0,0.8887225,0.9792007,0.9332659,0.9839843,0.9799464,0.95846546,0.9849037,0.9917047,0.9731854,0.93313974,0.986065,0.8907275,0.98700726,0.97895217,0.9891749,0.95357805,0.99109393,0.8589648,0.98305535,0.9867702,0.9640011,0.96872425,0.98807806,0.98318297,0.9843434,0.9371058,0.9831593,0.9641321,0.9638067,0.98288023,0.9823259,0.97905344,0.9580709,0.9872675,0.97255,0.93003094,0.99416554,0.97066873,0,0.9842873,0.98152184,0,0.67393875,0.9838969,0.9805604,0.98762983,0.9862423,0.98321223,0.9822781,0.9580399,0.98352253,0.9684708,0.9881552,0.9848628,0.9827152,0.9882196,0.9793734,0.97878313,0.98074925,0.9827622,0.988677,0.81492877,0.9842359,0.98561215,0.97975373,0.92888504,0.9825774,0.8549418,0.9744766,0.9819446,0.9828846,0.9278943,0.9878162,0.9577437
3,0.9697216,0.9455931,0.9503537,1.0000001,0.92282826,0.971809,0.9789076,0.9497636,0.97248375,0.94993466,0.9675738,0.9731656,0.9220672,0.89936423,0.8553234,0.97235197,0.95017934,0.9796073,0.95895797,0,0.93638706,0.92877656,0.9724854,0.9532622,0.9213964,0.92276704,0.9283156,0.9220257,0.87654364,0.95077133,0.97319925,0.9767111,0.95405734,0.9567281,0.9401555,0.94987726,0.9565796,0.94454324,0.97557557,0.93820107,0.8662072,0.9321273,0.96021026,0.9228547,0.97557014,0.98528683,0.94612557,0.9529607,0.96290725,0,0.960526,0,0.85908794,0.9704225,0.90083975,0.9689054,0.9464707,0.96672356,0.94140875,0.9566599,0.98471975,0.9156372,0.9702337,0.849174,0.958085,0.96790236,0.9696866,0.9383035,0.9583645,0.8558084,0.97718346,0.9463787,0.9381496,0.9476259,0.96994203,0.966373,0.9595651,0.90480053,0.9733377,0.9265351,0.96765906,0.9341425,0.953258,0.9735702,0.9028743,0.9508898,0.9331904,0.92026156,0.95988756,0.98073655,0,0.9519838,0.97447413,0,0.63868785,0.9437366,0.9599465,0.93305415,0.9685021,0.9440886,0.97031885,0.9611411,0.9572817,0.9275612,0.9667644,0.93657696,0.9339093,0.95152915,0.9652503,0.98318684,0.9312802,0.97468466,0.9618525,0.7619921,0.94090223,0.9392288,0.9432873,0.9132174,0.9497079,0.8103649,0.95496124,0.97142637,0.96399844,0.88479114,0.9644901,0.91335756
4,0.97213745,0.96345234,0.98674065,0.92282826,1,0.9528401,0.9609475,0.96935713,0.9686353,0.98402864,0.96698904,0.96641296,0.97555393,0.92236006,0.905896,0.96662384,0.99092007,0.954048,0.97258776,0,0.9850931,0.96887106,0.9536187,0.9653626,0.92981076,0.96916705,0.95240206,0.95014817,0.8896457,0.9747398,0.96189785,0.96895933,0.9846321,0.9786411,0.9872806,0.9861585,0.98040336,0.98652244,0.96328926,0.9754431,0.8901232,0.9617127,0.9797784,0.9729193,0.94796807,0.9546861,0.9702323,0.9819157,0.9698397,0,0.9649115,0,0.8831951,0.9649845,0.9282589,0.97264856,0.9721016,0.9420113,0.97790456,0.98367673,0.9532642,0.9145668,0.9750403,0.88409835,0.9757101,0.96490747,0.9790438,0.93627185,0.9821974,0.83935,0.9691453,0.9833702,0.9543636,0.96103776,0.97800803,0.97364867,0.9735154,0.92878675,0.9674597,0.952365,0.94270325,0.97626716,0.97556657,0.965769,0.9586751,0.97817034,0.96286494,0.91967535,0.9876342,0.9522607,0,0.9728904,0.96757066,0,0.700528,0.9755231,0.9683156,0.97962284,0.9762907,0.9772328,0.97085005,0.9433458,0.9730304,0.9524101,0.9770356,0.9804531,0.97876084,0.98402244,0.9663959,0.96145004,0.97597814,0.9682204,0.9793384,0.7891369,0.97727615,0.97692484,0.97248685,0.91816086,0.9703559,0.8646937,0.9594819,0.967981,0.9724568,0.92747086,0.9779795,0.95350087
5,0.98040146,0.9646278,0.9696898,0.971809,0.9528401,1,0.9934245,0.97438496,0.98778623,0.97172874,0.98409045,0.9876424,0.94703454,0.9348997,0.8702819,0.9831575,0.975759,0.9923588,0.97689486,0,0.95651406,0.9551414,0.9804859,0.9723239,0.94423026,0.9470524,0.947368,0.93462586,0.89702123,0.9770821,0.99184906,0.987434,0.9768511,0.9854854,0.96344113,0.97704816,0.98089147,0.9704303,0.9878934,0.9638414,0.8896262,0.95064336,0.9840101,0.93875796,0.9877088,0.9895657,0.9662314,0.97423905,0.9841374,0,0.97928005,0,0.8799988,0.99460536,0.9209423,0.9860231,0.96709454,0.9851308,0.9638387,0.97886825,0.98161876,0.9181751,0.9877638,0.8890988,0.9776224,0.97743124,0.98564607,0.95937955,0.9789315,0.8605533,0.9884044,0.97627693,0.9577294,0.9799728,0.9891206,0.9819284,0.97803086,0.9248896,0.98395133,0.9498207,0.98089707,0.96011364,0.97242755,0.9891206,0.9272202,0.97549176,0.95032656,0.92882717,0.9816782,0.9917908,0,0.97580284,0.98907214,0,0.66751677,0.9684103,0.9824481,0.9550999,0.98912686,0.9733676,0.99304205,0.9705401,0.98026603,0.9463082,0.9807366,0.9577551,0.9588291,0.97934175,0.98310655,0.9920002,0.95369947,0.9954885,0.9823451,0.7791196,0.96194154,0.95938593,0.9721364,0.91054165,0.975049,0.8329333,0.97784764,0.9816539,0.9884762,0.92184687,0.9880115,0.93998045
6,0.98893386,0.9745639,0.97852737,0.9789076,0.9609475,0.9934245,1,0.9820081,0.9906361,0.98016214,0.98891497,0.99127567,0.9552407,0.9348018,0.89000934,0.9889696,0.9819514,0.9980426,0.9833016,0,0.9642161,0.9575356,0.98769426,0.97854286,0.9541827,0.9556721,0.95403033,0.9471172,0.90039074,0.9800544,0.99509573,0.99426943,0.98279345,0.9877557,0.9722456,0.9817358,0.98731834,0.9772719,0.9943278,0.97030336,0.89216805,0.9588335,0.9907545,0.953112,0.98793966,0.99444485,0.97407407,0.98155314,0.98647237,0,0.9859915,0,0.8806806,0.9962861,0.9225884,0.9913715,0.9708443,0.98546195,0.97154087,0.98425484,0.98753405,0.9282155,0.9927131,0.885651,0.9840766,0.9859303,0.9920045,0.95901,0.9863099,0.8698576,0.9938155,0.9785778,0.96426874,0.98032004,0.9932234,0.98498386,0.9846266,0.932178,0.9890497,0.9530677,0.98793477,0.9664984,0.9802845,0.9933729,0.9377277,0.9797103,0.95990026,0.9401996,0.9881755,0.99786,0,0.98379135,0.9949094,0,0.67914164,0.9721477,0.98962283,0.964599,0.99281925,0.9806436,0.99494654,0.9761947,0.98335063,0.9541143,0.9900143,0.968796,0.96597904,0.98573905,0.98779404,0.9968223,0.9618775,0.9980112,0.98844707,0.7941089,0.97350997,0.96688485,0.97762764,0.9318272,0.9826051,0.84117717,0.97783345,0.98946416,0.9899982,0.929828,0.9906006,0.944577
7,0.98021567,0.98111796,0.9822395,0.9497636,0.96935713,0.97438496,0.9820081,1.0000001,0.9841782,0.9863285,0.980383,0.9786496,0.96359706,0.9376906,0.89757866,0.97754145,0.9870784,0.9783774,0.9809861,0,0.9704754,0.97122616,0.9699856,0.9813635,0.950715,0.96915543,0.96521676,0.949942,0.910664,0.98156595,0.9831542,0.9784739,0.98550475,0.98741716,0.97606987,0.9880086,0.9939844,0.9856306,0.9802378,0.97919095,0.89320827,0.9644873,0.9859975,0.9574672,0.9693525,0.974334,0.97425514,0.9870965,0.9774002,0,0.9825933,0,0.8924453,0.984138,0.9343613,0.98662204,0.9758842,0.9720363,0.97788024,0.9857484,0.9678772,0.9374813,0.9859792,0.91531146,0.98976165,0.9733741,0.98783344,0.9673344,0.988179,0.8790866,0.98055243,0.98149556,0.95758295,0.96726525,0.9868604,0.9782218,0.98347807,0.93777007,0.9816244,0.95280766,0.969102,0.9765463,0.9834008,0.98155963,0.95009637,0.98799515,0.96405935,0.9310116,0.9901347,0.97569495,0,0.998075,0.9844307,0,0.6594909,0.9821761,0.9818786,0.97677803,0.98649997,0.9820233,0.9848275,0.96372676,0.97729874,0.9546085,0.9858655,0.97921926,0.9748443,0.9838947,0.9836335,0.9798533,0.9658999,0.98513734,0.9879688,0.8072233,0.97605306,0.9746222,0.9861895,0.92827517,0.9971696,0.84396935,0.9771616,0.9775025,0.98433197,0.94567025,0.99015486,0.9586682
8,0.98636246,0.9764824,0.9812471,0.97248375,0.9686353,0.98778623,0.9906361,0.9841782,0.99999994,0.98214465,0.98867166,0.99222887,0.95672107,0.93516207,0.8852371,0.9870008,0.984852,0.988402,0.9874291,0,0.9733535,0.9658835,0.98254603,0.97943103,0.94522554,0.9603882,0.95793897,0.94585043,0.89844257,0.9828164,0.990245,0.990151,0.98579895,0.98759943,0.97490686,0.9856987,0.9905873,0.9826359,0.9903772,0.97429216,0.8959976,0.9674151,0.9904273,0.9564475,0.98297155,0.98816925,0.97362834,0.98468864,0.9875266,0,0.9843103,0,0.8951458,0.9914444,0.9338478,0.9924072,0.97336406,0.9800887,0.9725653,0.9872266,0.9825814,0.9210557,0.99050975,0.8956902,0.98922664,0.98181164,0.9922113,0.9645188,0.9885417,0.8655193,0.99130523,0.9842824,0.96389014,0.9773607,0.9957716,0.98691106,0.983081,0.9318305,0.9875663,0.9554535,0.97964954,0.9723587,0.98632455,0.9932109,0.9421591,0.984932,0.9633768,0.93907565,0.99063253,0.98701245,0,0.98470306,0.9936337,0,0.66775006,0.98127836,0.9858077,0.969507,0.99375796,0.98083735,0.9932757,0.9711804,0.98310995,0.95268357,0.98910356,0.9722684,0.97293496,0.98702526,0.98909205,0.99140495,0.9623841,0.99352664,0.98957056,0.78223854,0.97176343,0.9723467,0.9829649,0.9249291,0.98216516,0.84876555,0.9776028,0.98617256,0.99153847,0.9294845,0.9923148,0.9471033
9,0.98601234,0.97954106,0.9920003,0.94993466,0.98402864,0.97172874,0.98016214,0.9863285,0.98214465,1,0.98220754,0.97677076,0.97769344,0.9361314,0.9115797,0.9820565,0.9939369,0.97498685,0.9800677,0,0.98160505,0.9749673,0.9714752,0.9832764,0.9471607,0.97788227,0.9648702,0.96027815,0.91601735,0.9885143,0.9811915,0.98284274,0.9904358,0.99190253,0.9905326,0.9919672,0.9916532,0.991388,0.9789137,0.99102265,0.89889646,0.97055256,0.9884205,0.9732052,0.9668205,0.97376096,0.9820399,0.99262446,0.97784376,0,0.9819554,0,0.9014518,0.9813458,0.93478614,0.98643625,0.9839513,0.9635788,0.9883624,0.9887437,0.97432053,0.9431409,0.98809457,0.89624316,0.9904504,0.9799404,0.99104714,0.9600511,0.99333924,0.86877614,0.98208797,0.98579997,0.97350425,0.9732682,0.98926,0.985065,0.98763996,0.9447663,0.9845147,0.96176344,0.96708477,0.9914974,0.9837369,0.9793952,0.9647788,0.98991996,0.9740075,0.94005823,0.9942243,0.97265124,0,0.9884502,0.98249286,0,0.66144645,0.9828123,0.9824049,0.9822383,0.98810965,0.9865592,0.9833747,0.95814747,0.98011416,0.9686457,0.98825943,0.98826754,0.9790266,0.98926157,0.9804353,0.98075,0.9806168,0.9845991,0.99068034,0.8123202,0.9874503,0.97806734,0.98347425,0.9393485,0.9863451,0.85698384,0.9776155,0.9834407,0.9857376,0.93650544,0.9906588,0.95944256
