,Anfu_Zhou,Hongman_Wang,Xiangling_Fu,Yang_Liu_0024,Pengfei_Wang_0009,Si-Ya_Xu,Wenjing_Li_0001,Chen_Liu_0011,Xiaomin_Zhu_0002,Yawen_Wang,Pei_Zhang_0003,Jianfeng_Guan,Qi_Qi_0001,Qiwei_Shen,Chuan_Shi,Yongping_Xiong,Haihong_E,Fanqin_Zhou,Shuzhuang_Zhang,Hongliang_Liang,Linmei_Hu,Yanhua_Yu,Yan_Shi_0002,Haifeng_Sun,Yuhong_Li,Dong_Zhao_0001,Tiemeng_Li,Feng_Qi_0004,Rongfeng_Li,Jincui_Yang,Ao_Xiong,Li_Wang_0039,Bin_Wu_0001,Zhili_Wang,Ding_Xiao,Yingxia_Shao,Rongheng_Lin,Kun_Niu,Xirong_Que,Dahai_Jin,Guangwei_Zhang,Yuan_Dong,Shangguang_Wang,Xiangang_Qin,Xin_Li_0041,Bo_Hu_0003,Wenhua_Shao,Junping_Du,Meilian_Lu,Wenbin_Yao,Zhaowen_Lin,Liutong_Xu,Jinglin_Li,Shao-Yong_Guo,Yidong_Cui,Yanlei_Shang,Xuejing_Kang,Sujie_Shao,Anlong_Ming,Bai_Wang_0001,Hui_Gao_0001,Fangchun_Yang,Dongliang_Xie,Xiangwu_Meng,Jingling_Zhao,Pengrui_Duan,Wendong_Wang,Shao-Zhang_Niu,Yan_Sun_0004,Yuyu_Yuan,Wenan_Zhou,Xiang_Cheng_0003,Songwei_Pei,Xiaoyuan_Fu,Jianxin_Liao,Tong_Xu_0002,Fang_Zhao_0003,Chong_Gao,Hai_Huang_0001,Xiaofeng_Du,Kun_Xie_0003,Yunzhan_Gong,Yang_Zhang_0015,Changqiao_Xu,Qiang_Fu_0004,Wenming_Guo,Haoyu_Wang_0001,Hongwei_Jia,Meina_Song,Lei_Feng_0001,Yuchao_Zhang,Zhengqiu_Yang,Xiangyang_Gong,Hua_Zou,Danfeng_Yan,Xiuqin_Lin,Quan_Yuan_0004,MeiYu_Liang,Jingyu_Wang_0001,Xingquan_Zuo,Lanlan_Rui,Lejian_Zhang,Zhongbao_Zhang,Xiaoru_Wang,Zhonghong_Ou,Wen-Jun_Hou,Lirong_Qiu,Qibo_Sun,Hongbo_Wang_0001,Ying_Wang_0002,Mengshi_Qi,Xuesong_Qiu_0001,Hong_Luo_0001,Xianlin_Zhang,Huiyuan_Fu,Feifei_Kou,Budan_Wu,Jinpeng_Chen,Jiapeng_Xiu,Kai_Shuang,Yonghao_Gu,Xiaolong_Zheng_0002,Shujie_Yang,Xiao-hong_Huang,Zhipeng_Gao,Yuanyuan_Zuo
Anfu_Zhou,1.0,0.9605384,0.97474647,0.9546088,0.95719564,0.9679834,0.98239666,0.96947694,0.97901195,0.9776328,0.98003817,0.9802961,0.93922776,0.8858854,0.8421342,0.9832538,0.97732365,0.975361,0.9767418,0.0,0.9580733,0.938448,0.9748319,0.9685409,0.91014653,0.9517478,0.9458433,0.9410071,0.82203525,0.96527445,0.96920943,0.979795,0.97811747,0.9812949,0.9705664,0.9741763,0.97939867,0.9725737,0.9866993,0.96360254,0.7894897,0.9451773,0.9840048,0.9525426,0.9687504,0.9776367,0.96338946,0.97319543,0.9715735,0.0,0.9763003,0.0,0.8173133,0.9782822,0.88522,0.98517287,0.958747,0.95247763,0.968914,0.9793564,0.96756643,0.9071294,0.98836035,0.8212582,0.9770383,0.9859086,0.9894183,0.9313768,0.98552805,0.81122303,0.9825267,0.9674844,0.9469026,0.9562206,0.9879622,0.97168607,0.9801555,0.9033104,0.9766811,0.9383592,0.96430814,0.9571062,0.97063106,0.9852436,0.9308147,0.971107,0.95325094,0.88190323,0.98377216,0.97226727,0.0,0.971109,0.98732376,0.0,0.573037,0.9597646,0.9800013,0.962018,0.98773795,0.9689929,0.9773916,0.95736635,0.9721764,0.9337659,0.99027044,0.9683196,0.9576467,0.97817504,0.98041964,0.98041266,0.9615811,0.98298144,0.9841297,0.70841503,0.97775877,0.9585574,0.9619535,0.903007,0.9694459,0.75905234,0.9620093,0.9891569,0.97603184,0.88319415,0.98035574,0.91613185
Hongman_Wang,0.9605384,0.9999998,0.9607869,0.91335475,0.9439834,0.9411463,0.9564966,0.9678841,0.9613246,0.9652858,0.95843434,0.9438574,0.94006485,0.8873882,0.85393655,0.9573301,0.9682828,0.9476959,0.95189595,0.0,0.94385433,0.9418505,0.94213027,0.95556694,0.93695855,0.9462976,0.92053914,0.91762215,0.81093776,0.9599404,0.9558634,0.950492,0.9603891,0.9671633,0.9582959,0.96359754,0.97189337,0.966646,0.9541864,0.9577831,0.78876996,0.9202317,0.9599616,0.92771643,0.9376509,0.94984245,0.94561195,0.9681376,0.94093055,0.0,0.9537457,0.0,0.8258157,0.9595998,0.8834382,0.96505946,0.949493,0.93757313,0.9591439,0.9589154,0.93474585,0.9111254,0.96450984,0.83381057,0.96533674,0.9539956,0.9688879,0.91994697,0.9672284,0.8112315,0.95029485,0.9559431,0.9361509,0.93391377,0.9644063,0.94773203,0.96762395,0.8994476,0.9517331,0.9238414,0.9438364,0.95408154,0.95963746,0.9480399,0.9256934,0.9667732,0.9246899,0.8939427,0.97081494,0.94168234,0.0,0.9711262,0.9619572,0.0,0.5506257,0.9464295,0.9605822,0.9474405,0.9627384,0.967314,0.95597464,0.91633964,0.94951606,0.92709535,0.9648161,0.95535916,0.9410549,0.9552257,0.9549941,0.9554393,0.9368854,0.96139854,0.9658904,0.7361432,0.95770687,0.94454217,0.95892364,0.8874113,0.9684588,0.718101,0.9443432,0.9573295,0.9554298,0.8974735,0.9685409,0.90680116
Xiangling_Fu,0.97474647,0.9607869,0.9999999,0.92334867,0.9791311,0.951956,0.96552205,0.9724864,0.9711552,0.9864868,0.9674196,0.9641568,0.96204275,0.8916114,0.86623216,0.9689337,0.9899136,0.9534853,0.96973115,0.0,0.9784206,0.9537446,0.954198,0.9625836,0.9136678,0.95569015,0.94098896,0.92930347,0.8430652,0.9745369,0.9625563,0.9703115,0.9876611,0.98261005,0.9820018,0.9845256,0.98296756,0.98480093,0.9671458,0.9746133,0.79688436,0.93962324,0.97840685,0.95726424,0.94872195,0.95552915,0.9611823,0.98496765,0.9700669,0.0,0.966744,0.0,0.8299078,0.96650016,0.90003335,0.97557664,0.9674468,0.93200654,0.9761645,0.98590714,0.9542898,0.8974271,0.9772345,0.8371128,0.9796053,0.96617776,0.982879,0.92971724,0.98595184,0.79227906,0.9728186,0.9769293,0.9425162,0.94856644,0.9810491,0.9727966,0.9744393,0.90216446,0.96954674,0.94869214,0.94126993,0.97142917,0.971524,0.9655348,0.9365127,0.97873557,0.95173645,0.88406706,0.9904654,0.95030797,0.0,0.9759898,0.97102195,0.0,0.5638993,0.97526103,0.96764517,0.9814925,0.9786408,0.9742961,0.9694317,0.93460304,0.9726547,0.9476626,0.9805063,0.97658575,0.97382724,0.98095334,0.9663482,0.9653529,0.9701821,0.9719952,0.98209393,0.7354522,0.9760138,0.9768056,0.96779007,0.8912293,0.9732211,0.7649344,0.96327716,0.97100616,0.96959305,0.8901443,0.9800726,0.9280852
Yang_Liu_0024,0.9546088,0.91335475,0.92334867,1.0000001,0.88576716,0.9562287,0.9679391,0.9244845,0.95840883,0.9247477,0.94873923,0.9594718,0.88004583,0.8558394,0.7925896,0.9561416,0.92551315,0.9691506,0.937696,0.0,0.90437454,0.8929322,0.95716906,0.92967814,0.87318254,0.88444835,0.8965838,0.8792105,0.79710037,0.927178,0.9574428,0.9647026,0.93131214,0.9363336,0.9093853,0.9257678,0.9338962,0.9180805,0.962658,0.90663046,0.76132613,0.8922571,0.94048053,0.8822634,0.9623032,0.9777426,0.9128707,0.92989516,0.9457035,0.0,0.9418036,0.0,0.79268676,0.9553416,0.8560072,0.95219857,0.9191942,0.9471901,0.91141814,0.93510026,0.9756754,0.86704683,0.95517385,0.7834343,0.9371065,0.95144284,0.95472145,0.9097811,0.93788314,0.7886786,0.96502566,0.9199027,0.90698457,0.9187539,0.9551324,0.94359034,0.93768835,0.8522312,0.9589892,0.89204484,0.9493763,0.90072685,0.9282939,0.96046305,0.85695255,0.92538995,0.89122176,0.8674851,0.9398779,0.9699473,0.0,0.92656803,0.9616308,0.0,0.5256157,0.9162118,0.94065046,0.90130484,0.95308155,0.9169695,0.95561683,0.9376511,0.9363406,0.8924174,0.9490231,0.9056673,0.9040992,0.92644185,0.94683033,0.9750879,0.8994043,0.9620089,0.9427171,0.660191,0.9117518,0.9080605,0.912754,0.86383647,0.9232625,0.7017937,0.93304515,0.9546659,0.94757766,0.83407295,0.9470015,0.86602753
Pengfei_Wang_0009,0.95719564,0.9439834,0.9791311,0.88576716,1.0,0.9264638,0.9398164,0.9533455,0.95253974,0.97424114,0.9470777,0.94784707,0.957325,0.8792136,0.8592523,0.95116305,0.9849924,0.9276128,0.9572972,0.0,0.9769213,0.94877803,0.92871803,0.9452422,0.89233404,0.9498337,0.9312477,0.9220167,0.81547064,0.9604202,0.93856186,0.9510268,0.9756293,0.96663845,0.9788725,0.97755295,0.96935135,0.9784293,0.9442505,0.9618728,0.7897025,0.9374901,0.96789247,0.9574513,0.9198137,0.93229276,0.947684,0.9703267,0.9539819,0.0,0.94528383,0.0,0.82509065,0.94649786,0.89291143,0.95871425,0.9550772,0.9108951,0.9648263,0.97467506,0.92604184,0.8723889,0.9614935,0.82336354,0.96271056,0.9463614,0.9677962,0.9035846,0.9723146,0.7694147,0.9526633,0.973813,0.92716056,0.9390903,0.9666618,0.95784485,0.9587832,0.88651264,0.94748914,0.9305557,0.9111687,0.96136403,0.9605982,0.94735086,0.9377738,0.9659007,0.93837106,0.86628133,0.9803926,0.9242848,0.0,0.9588781,0.95007735,0.0,0.5941157,0.96199137,0.9508501,0.96907866,0.9641584,0.9654982,0.95369047,0.9141501,0.957898,0.92420936,0.9648515,0.9701313,0.9676657,0.9740734,0.94771445,0.9401295,0.9640975,0.9508971,0.96799725,0.6983505,0.96400416,0.96440077,0.95536107,0.8752202,0.9554961,0.76939034,0.9414787,0.9516706,0.95414823,0.88486576,0.9656767,0.9202605
Si-Ya_Xu,0.9679834,0.9411463,0.951956,0.9562287,0.9264638,0.99999994,0.9890674,0.9593984,0.9813496,0.95533377,0.9737164,0.9797447,0.9151108,0.9003146,0.8143013,0.9705881,0.96151876,0.9870242,0.9636582,0.0,0.9318765,0.9310594,0.96708244,0.95590043,0.9065195,0.9193156,0.9227765,0.89371645,0.832427,0.96120256,0.9865687,0.980103,0.96297616,0.9769506,0.9410884,0.9636724,0.9692511,0.953945,0.97917354,0.9427345,0.79722744,0.9201365,0.9749697,0.9007257,0.97973186,0.9811533,0.9401397,0.95884657,0.9744903,0.0,0.96687406,0.0,0.8153399,0.99158335,0.8823377,0.97753924,0.94980556,0.97424275,0.9435522,0.96583885,0.96876335,0.8729397,0.9798131,0.84056824,0.9651254,0.9639853,0.9769079,0.937927,0.96634454,0.7987682,0.9811637,0.962609,0.9348155,0.9658526,0.9824076,0.97124654,0.9641777,0.8810032,0.9745934,0.9253333,0.96877193,0.9366496,0.95466024,0.9826863,0.886132,0.96008015,0.9151002,0.8772816,0.9702042,0.98585135,0.0,0.9600768,0.98158145,0.0,0.54382634,0.9527317,0.97270274,0.93204874,0.98237836,0.95830166,0.9885277,0.9508373,0.9692911,0.91993546,0.96814454,0.93332165,0.9388342,0.9669323,0.972889,0.9860972,0.92838794,0.99275184,0.9720656,0.6876378,0.94068146,0.9355384,0.95639396,0.85564065,0.9591778,0.7310787,0.9655899,0.9687692,0.9812199,0.8852486,0.9808539,0.9041678
Wenjing_Li_0001,0.98239666,0.9564966,0.96552205,0.9679391,0.9398164,0.9890674,1.0,0.9715529,0.9853908,0.96849406,0.9805898,0.9845815,0.9288544,0.8999925,0.8406065,0.98038906,0.9710496,0.99641484,0.97318363,0.0,0.9439818,0.9350679,0.9787938,0.9651277,0.9213507,0.9330612,0.934779,0.9140739,0.83495235,0.9672593,0.9911554,0.9902079,0.97307813,0.9814686,0.9558833,0.97065437,0.9793709,0.96468794,0.99035037,0.95380056,0.79649943,0.930116,0.9852089,0.92469436,0.98102504,0.9901932,0.9536911,0.97089505,0.97952527,0.0,0.9789291,0.0,0.81531507,0.9935905,0.885268,0.9854925,0.9549006,0.97472465,0.955554,0.9751138,0.97883886,0.88932097,0.98775727,0.8339159,0.9749132,0.97749865,0.9869341,0.93705535,0.9780406,0.8105146,0.9901878,0.9661439,0.94454664,0.96660626,0.988888,0.9742532,0.9742722,0.8918369,0.9820723,0.93058074,0.97883445,0.94795144,0.9676571,0.9888663,0.90414715,0.967168,0.9322841,0.89695245,0.98037744,0.99561787,0.0,0.97358066,0.99135756,0.0,0.56398237,0.9587209,0.98328525,0.9471344,0.98830485,0.96968293,0.9911656,0.959225,0.9743352,0.929326,0.9826465,0.9514132,0.9493302,0.9770516,0.9803641,0.99468267,0.94214594,0.9967322,0.9812892,0.70525247,0.9587752,0.94783807,0.96367216,0.8892607,0.9715474,0.74205285,0.9667769,0.9816308,0.9841599,0.89537907,0.98503274,0.90895575
Chen_Liu_0011,0.96947694,0.9678841,0.9724864,0.9244845,0.9533455,0.9593984,0.9715529,0.9999999,0.9755672,0.97757554,0.96843326,0.9650465,0.9426478,0.90157604,0.85123897,0.96617556,0.98069394,0.96413976,0.96948284,0.0,0.95497507,0.9534563,0.95329,0.96771973,0.92061317,0.9537154,0.9483855,0.9228164,0.85003597,0.9690101,0.9731188,0.96672934,0.97705823,0.97953945,0.9629787,0.97998554,0.9900318,0.97805226,0.96939963,0.9660176,0.7998606,0.9422056,0.9778043,0.93567544,0.95353717,0.9593095,0.953314,0.97938436,0.96399623,0.0,0.9736184,0.0,0.8315209,0.9748595,0.90740466,0.9774979,0.9623213,0.9539645,0.9653248,0.9777553,0.9480306,0.90341794,0.9781043,0.8717624,0.9839833,0.9600751,0.9816841,0.94733196,0.981477,0.824582,0.9695843,0.9722656,0.93335736,0.94472927,0.9791539,0.964425,0.9722529,0.8997226,0.9685197,0.9316901,0.950607,0.9615198,0.97260755,0.97009796,0.9227882,0.9814453,0.9417541,0.8856301,0.9851962,0.9596913,0.0,0.99696916,0.97626925,0.0,0.5416884,0.9730037,0.9711894,0.9663783,0.97826856,0.9723632,0.9748491,0.94335884,0.9647636,0.9305451,0.97806764,0.96874857,0.9618758,0.9738045,0.97401524,0.96810055,0.9481184,0.9763433,0.98131895,0.72608316,0.9635793,0.96216756,0.97709644,0.8908515,0.99566495,0.7454166,0.96292603,0.963629,0.9730426,0.9160051,0.98378384,0.9332771
Xiaomin_Zhu_0002,0.97901195,0.9613246,0.9711552,0.95840883,0.95253974,0.9813496,0.9853908,0.9755672,0.99999994,0.9727449,0.98086774,0.98704183,0.93365973,0.9047471,0.83607334,0.97915316,0.9773485,0.9809264,0.9795399,0.0,0.9583691,0.94786954,0.9727048,0.9665194,0.9114962,0.94081056,0.9402911,0.91462123,0.83644617,0.9731906,0.98381174,0.9850079,0.97896636,0.98147017,0.96027756,0.97838646,0.98509014,0.974077,0.9842137,0.961507,0.8026422,0.94520164,0.9845035,0.9311943,0.97247463,0.98136353,0.9544795,0.9769377,0.980945,0.0,0.9744917,0.0,0.8381401,0.98686045,0.90008295,0.98770684,0.9607628,0.96707356,0.9590238,0.98068434,0.9718593,0.8806567,0.98612875,0.84899235,0.9839308,0.9728747,0.9882507,0.94616467,0.982157,0.8029742,0.98643225,0.975545,0.945938,0.9621681,0.99335176,0.9788799,0.9737499,0.8937946,0.98057926,0.9354822,0.96595407,0.95830625,0.97647625,0.9891036,0.9134461,0.9765014,0.9383237,0.8939685,0.98564667,0.9783746,0.0,0.9757045,0.9892214,0.0,0.55157197,0.9710299,0.9784612,0.9555091,0.99010473,0.9720007,0.9889067,0.95337266,0.9734098,0.9309881,0.98194855,0.9572945,0.96079195,0.9787724,0.98173237,0.9861021,0.9450802,0.99010843,0.98384035,0.69129026,0.9579437,0.95733833,0.9733147,0.8812163,0.972626,0.7510631,0.96776867,0.97698,0.98529387,0.89736867,0.9886369,0.91795397
Yawen_Wang,0.9776328,0.9652858,0.9864868,0.9247477,0.97424114,0.95533377,0.96849406,0.97757554,0.9727449,1.0,0.96966714,0.9616917,0.9617451,0.9032369,0.8716632,0.9717733,0.9888646,0.95886797,0.9683434,0.0,0.9713573,0.958537,0.95472294,0.971411,0.9123734,0.96587694,0.9506978,0.9368582,0.8577846,0.98013353,0.9672888,0.9728169,0.9834658,0.98690075,0.98445773,0.98523325,0.98549473,0.9848217,0.967079,0.98525286,0.8098196,0.9498616,0.98023075,0.95524186,0.9486865,0.9588753,0.96595794,0.98717815,0.9656535,0.0,0.97161186,0.0,0.8476019,0.96985465,0.90039307,0.9786448,0.9752751,0.94023776,0.9825053,0.98136395,0.9590751,0.9136281,0.9807194,0.84280765,0.9844358,0.96798223,0.98535585,0.9369389,0.9888466,0.81020147,0.9718295,0.97470784,0.95611304,0.95508707,0.9830215,0.9748528,0.9789979,0.91218007,0.97434425,0.9452594,0.94669926,0.98583406,0.9745005,0.966488,0.9465548,0.98191273,0.95475554,0.89548343,0.9897429,0.9550957,0.0,0.9809289,0.9722353,0.0,0.5428407,0.97230667,0.97181517,0.97347015,0.98132825,0.9788624,0.9712204,0.93526244,0.96742326,0.95039266,0.9809848,0.97993475,0.96848035,0.98079324,0.96905667,0.9691572,0.970736,0.9748945,0.9843619,0.7308104,0.98055863,0.9653621,0.9724541,0.903368,0.9776188,0.76278657,0.9657241,0.975933,0.9743289,0.9039771,0.9840349,0.9298339
